,src_dst_id,src_id,dst_id,flow_num
198,1857_2107,1857.0,2107.0,22625
259,2107_1857,2107.0,1857.0,22623
192,1824_2038,1824.0,2038.0,6932
87,1235_2054,1235.0,2054.0,3955
88,1235_2055,1235.0,2055.0,3726
217,2037_1475,2037.0,1475.0,3702
215,2035_1475,2035.0,1475.0,3449
247,2086_105,2086.0,105.0,3284
58,1120_2480,1120.0,2480.0,3219
57,1120_2128,1120.0,2128.0,3035
15,471_1120,471.0,1120.0,3035
230,2038_1824,2038.0,1824.0,2560
257,2105_2107,2105.0,2107.0,1823
262,2107_2105,2107.0,2105.0,1823
299,2408_2100,2408.0,2100.0,1792
253,2100_2408,2100.0,2408.0,1720
16,472_1120,472.0,1120.0,1614
17,473_1120,473.0,1120.0,1610
263,2112_1364,2112.0,1364.0,1301
138,1364_2112,1364.0,2112.0,1301
194,1826_2038,1826.0,2038.0,1142
149,1433_2228,1433.0,2228.0,1053
294,2228_1433,2228.0,1433.0,1018
146,1416_2228,1416.0,2228.0,997
291,2228_1416,2228.0,1416.0,923
93,1316_1358,1316.0,1358.0,920
240,2082_105,2082.0,105.0,853
114,1358_1316,1358.0,1316.0,847
39,1083_1858,1083.0,1858.0,772
199,1858_1083,1858.0,1083.0,771
232,2038_1826,2038.0,1826.0,602
203,1904_2107,1904.0,2107.0,600
261,2107_1904,2107.0,1904.0,599
6,325_2038,325.0,2038.0,586
277,2222_2638,2222.0,2638.0,515
193,1825_2038,1825.0,2038.0,502
214,2033_1098,2033.0,1098.0,491
47,1098_2033,1098.0,2033.0,475
275,2222_1004,2222.0,1004.0,462
196,1854_1080,1854.0,1080.0,450
0,100_2220,100.0,2220.0,440
63,1134_1102,1134.0,1102.0,437
251,2089_1121,2089.0,1121.0,426
274,2220_100,2220.0,100.0,425
35,1081_2113,1081.0,2113.0,423
122,1358_1390,1358.0,1390.0,417
260,2107_1901,2107.0,1901.0,405
202,1901_2107,1901.0,2107.0,403
256,2102_1098,2102.0,1098.0,400
140,1390_1358,1390.0,1358.0,399
31,1081_1053,1081.0,1053.0,391
30,1081_1052,1081.0,1052.0,391
98,1326_2107,1326.0,2107.0,391
237,2053_1238,2053.0,1238.0,388
239,2054_1238,2054.0,1238.0,378
118,1358_1325,1358.0,1325.0,368
145,1416_2225,1416.0,2225.0,363
175,1698_1643,1698.0,1643.0,363
278,2225_1416,2225.0,1416.0,363
48,1098_2102,1098.0,2102.0,359
190,1712_1694,1712.0,1694.0,359
97,1325_1358,1325.0,1358.0,355
183,1698_1671,1698.0,1671.0,352
164,1694_1712,1694.0,1712.0,343
133,1358_2197,1358.0,2197.0,332
269,2197_1358,2197.0,1358.0,330
219,2038_325,2038.0,325.0,325
148,1428_2228,1428.0,2228.0,321
304,2638_2222,2638.0,2222.0,316
293,2228_1428,2228.0,1428.0,315
51,1102_1134,1102.0,1134.0,309
134,1358_2201,1358.0,2201.0,308
116,1358_1322,1358.0,1322.0,299
270,2201_1358,2201.0,1358.0,298
178,1698_1649,1698.0,1649.0,297
295,2228_1439,2228.0,1439.0,294
171,1698_1603,1698.0,1603.0,292
150,1439_2228,1439.0,2228.0,292
95,1322_1358,1322.0,1358.0,287
300,2419_2082,2419.0,2082.0,284
86,1235_2053,1235.0,2053.0,280
244,2082_2419,2082.0,2419.0,280
184,1698_1673,1698.0,1673.0,278
135,1358_2207,1358.0,2207.0,276
89,1238_2053,1238.0,2053.0,276
126,1358_1885,1358.0,1885.0,272
21,719_1120,719.0,1120.0,272
90,1238_2054,1238.0,2054.0,266
212,2033_1085,2033.0,1085.0,266
271,2207_1358,2207.0,1358.0,264
5,324_2038,324.0,2038.0,263
13,334_2038,334.0,2038.0,261
10,330_2038,330.0,2038.0,260
139,1372_2038,1372.0,2038.0,259
7,326_2038,326.0,2038.0,259
12,333_2038,333.0,2038.0,259
302,2524_2038,2524.0,2038.0,258
142,1396_2038,1396.0,2038.0,258
8,327_2038,327.0,2038.0,257
11,332_2038,332.0,2038.0,257
102,1336_2038,1336.0,2038.0,256
305,2725_2038,2725.0,2038.0,256
9,329_2038,329.0,2038.0,253
211,2033_1081,2033.0,1081.0,250
280,2228_1058,2228.0,1058.0,246
24,1058_2228,1058.0,2228.0,244
78,1232_121,1232.0,121.0,244
238,2054_1235,2054.0,1235.0,234
120,1358_1334,1358.0,1334.0,231
155,1643_1698,1643.0,1698.0,229
40,1085_2033,1085.0,2033.0,225
59,1121_2089,1121.0,2089.0,221
136,1358_2213,1358.0,2213.0,221
266,2123_1358,2123.0,1358.0,220
131,1358_2123,1358.0,2123.0,219
101,1334_1358,1334.0,1358.0,217
107,1351_1356,1351.0,1356.0,216
182,1698_1669,1698.0,1669.0,216
106,1351_1346,1351.0,1346.0,216
272,2213_1358,2213.0,1358.0,215
185,1698_1674,1698.0,1674.0,215
28,1079_2033,1079.0,2033.0,214
236,2053_1235,2053.0,1235.0,214
201,1885_1358,1885.0,1358.0,214
117,1358_1323,1358.0,1323.0,212
197,1856_1358,1856.0,1358.0,207
285,2228_1181,2228.0,1181.0,205
187,1698_1687,1698.0,1687.0,200
177,1698_1648,1698.0,1648.0,199
128,1358_2039,1358.0,2039.0,198
72,1181_2228,1181.0,2228.0,198
186,1698_1675,1698.0,1675.0,197
96,1323_1358,1323.0,1358.0,196
151,1475_2035,1475.0,2035.0,195
56,1120_480,1120.0,480.0,192
281,2228_1061,2228.0,1061.0,192
105,1346_1351,1346.0,1351.0,191
108,1356_1351,1356.0,1351.0,191
64,1134_1103,1134.0,1103.0,190
53,1105_1988,1105.0,1988.0,190
34,1081_2033,1081.0,2033.0,190
209,1988_1105,1988.0,1105.0,189
188,1698_1701,1698.0,1701.0,184
235,2039_1358,2039.0,1358.0,184
129,1358_2118,1358.0,2118.0,183
160,1673_1698,1673.0,1698.0,181
159,1671_1698,1671.0,1698.0,179
264,2118_1358,2118.0,1358.0,179
123,1358_1392,1358.0,1392.0,178
210,2033_1079,2033.0,1079.0,178
104,1345_2107,1345.0,2107.0,176
258,2107_1345,2107.0,1345.0,175
124,1358_1856,1358.0,1856.0,174
152,1475_2037,1475.0,2037.0,173
33,1081_1342,1081.0,1342.0,171
287,2228_1195,2228.0,1195.0,169
25,1061_2228,1061.0,2228.0,166
207,1988_1080,1988.0,1080.0,166
103,1342_1081,1342.0,1081.0,165
109,1358_671,1358.0,671.0,164
75,1195_2228,1195.0,2228.0,163
54,1106_1134,1106.0,1134.0,162
65,1134_1106,1134.0,1106.0,162
153,1570_1694,1570.0,1694.0,161
141,1392_1358,1392.0,1358.0,161
29,1080_1988,1080.0,1988.0,159
292,2228_1426,2228.0,1426.0,158
147,1426_2228,1426.0,2228.0,157
130,1358_2122,1358.0,2122.0,157
127,1358_1958,1358.0,1958.0,156
265,2122_1358,2122.0,1358.0,155
289,2228_1402,2228.0,1402.0,154
286,2228_1186,2228.0,1186.0,154
19,671_1358,671.0,1358.0,153
143,1402_2228,1402.0,2228.0,153
41,1087_2033,1087.0,2033.0,152
52,1103_1134,1103.0,1134.0,151
181,1698_1666,1698.0,1666.0,150
60,1121_2097,1121.0,2097.0,149
283,2228_1176,2228.0,1176.0,148
20,718_2082,718.0,2082.0,148
70,1176_2228,1176.0,2228.0,147
252,2097_1121,2097.0,1121.0,146
157,1666_1698,1666.0,1698.0,146
73,1186_2228,1186.0,2228.0,145
14,455_1232,455.0,1232.0,145
298,2329_2035,2329.0,2035.0,143
84,1232_2343,1232.0,2343.0,142
113,1358_1213,1358.0,1213.0,141
166,1698_1522,1698.0,1522.0,141
77,1213_1358,1213.0,1358.0,140
80,1232_199,1232.0,199.0,140
83,1232_787,1232.0,787.0,139
176,1698_1645,1698.0,1645.0,139
242,2082_718,2082.0,718.0,138
174,1698_1635,1698.0,1635.0,137
213,2033_1087,2033.0,1087.0,137
231,2038_1825,2038.0,1825.0,137
32,1081_1137,1081.0,1137.0,136
91,1294_2228,1294.0,2228.0,136
69,1137_1081,1137.0,1081.0,136
282,2228_1065,2228.0,1065.0,135
180,1698_1656,1698.0,1656.0,134
82,1232_455,1232.0,455.0,131
67,1136_1101,1136.0,1101.0,131
38,1082_1988,1082.0,1988.0,130
218,2038_324,2038.0,324.0,130
225,2038_333,2038.0,333.0,130
49,1101_1136,1101.0,1136.0,130
243,2082_1189,2082.0,1189.0,130
74,1189_2082,1189.0,2082.0,130
208,1988_1082,1988.0,1082.0,130
169,1698_1574,1698.0,1574.0,129
44,1092_1136,1092.0,1136.0,129
62,1134_1089,1134.0,1089.0,129
216,2035_2329,2035.0,2329.0,129
66,1136_1092,1136.0,1092.0,129
228,2038_1372,2038.0,1372.0,129
226,2038_334,2038.0,334.0,129
111,1358_1055,1358.0,1055.0,128
23,1055_1358,1055.0,1358.0,128
50,1101_2101,1101.0,2101.0,128
229,2038_1396,2038.0,1396.0,128
255,2101_1101,2101.0,1101.0,128
223,2038_330,2038.0,330.0,128
221,2038_327,2038.0,327.0,128
115,1358_1318,1358.0,1318.0,128
94,1318_1358,1318.0,1358.0,128
37,1082_1983,1082.0,1983.0,128
206,1983_1082,1983.0,1082.0,128
276,2222_1488,2222.0,1488.0,127
227,2038_1336,2038.0,1336.0,127
220,2038_326,2038.0,326.0,127
234,2038_2725,2038.0,2725.0,127
224,2038_332,2038.0,332.0,127
222,2038_329,2038.0,329.0,126
297,2228_1977,2228.0,1977.0,126
233,2038_2524,2038.0,2524.0,125
55,1107_1136,1107.0,1136.0,125
2,199_1232,199.0,1232.0,124
205,1977_2228,1977.0,2228.0,123
249,2086_814,2086.0,814.0,123
137,1358_2216,1358.0,2216.0,122
22,761_1358,761.0,1358.0,122
110,1358_761,1358.0,761.0,122
191,1743_2220,1743.0,2220.0,122
68,1136_1107,1136.0,1107.0,121
3,226_2226,226.0,2226.0,121
163,1694_1570,1694.0,1570.0,120
250,2086_2454,2086.0,2454.0,120
290,2228_1413,2228.0,1413.0,119
125,1358_1874,1358.0,1874.0,119
301,2454_2086,2454.0,2086.0,119
189,1701_1698,1701.0,1698.0,119
36,1081_2151,1081.0,2151.0,118
267,2151_1081,2151.0,1081.0,118
81,1232_427,1232.0,427.0,117
200,1874_1358,1874.0,1358.0,117
61,1123_1094,1123.0,1094.0,116
273,2216_1358,2216.0,1358.0,116
121,1358_1385,1358.0,1385.0,116
154,1603_1698,1603.0,1698.0,115
45,1094_2033,1094.0,2033.0,115
296,2228_1847,2228.0,1847.0,115
26,1065_2228,1065.0,2228.0,113
165,1698_1521,1698.0,1521.0,113
268,2155_1358,2155.0,1358.0,111
76,1205_1358,1205.0,1358.0,111
288,2228_1294,2228.0,1294.0,111
195,1847_2228,1847.0,2228.0,110
179,1698_1651,1698.0,1651.0,110
27,1078_2033,1078.0,2033.0,110
144,1413_2228,1413.0,2228.0,110
18,482_2086,482.0,2086.0,109
42,1089_1134,1089.0,1134.0,107
1,164_2220,164.0,2220.0,107
112,1358_1205,1358.0,1205.0,107
71,1178_2228,1178.0,2228.0,106
303,2530_1232,2530.0,1232.0,106
284,2228_1178,2228.0,1178.0,106
254,2100_2630,2100.0,2630.0,106
92,1314_237,1314.0,237.0,106
204,1970_2226,1970.0,2226.0,105
79,1232_129,1232.0,129.0,105
4,237_1314,237.0,1314.0,105
161,1674_1698,1674.0,1698.0,105
245,2082_2633,2082.0,2633.0,104
158,1669_1698,1669.0,1698.0,104
246,2086_8,2086.0,8.0,104
132,1358_2155,1358.0,2155.0,104
241,2082_393,2082.0,393.0,104
170,1698_1584,1698.0,1584.0,103
119,1358_1329,1358.0,1329.0,103
99,1328_2223,1328.0,2223.0,103
167,1698_1543,1698.0,1543.0,103
162,1687_1698,1687.0,1698.0,103
85,1235_1283,1235.0,1283.0,103
100,1329_1358,1329.0,1358.0,102
173,1698_1627,1698.0,1627.0,102
279,2226_226,2226.0,226.0,102
46,1097_2033,1097.0,2033.0,101
248,2086_482,2086.0,482.0,101
172,1698_1626,1698.0,1626.0,100
168,1698_1573,1698.0,1573.0,100
43,1089_2033,1089.0,2033.0,100
156,1649_1698,1649.0,1698.0,100
